,TRAIN_MSE,DEV_MSE,TEST_MSE,TRAIN_MAE,DEV_MAE,TEST_MAE
163,9.053893089294434,11.180285453796387,54.02197265625,2.5639030933380127,2.978538990020752,6.98323917388916
164,9.053171157836914,11.558448791503904,53.8902359008789,2.5574302673339844,3.029658079147339,6.974891662597656
165,9.053204536437988,11.45941162109375,53.9294319152832,2.559401512145996,3.016545295715332,6.977383613586426
166,9.05317497253418,11.482762336730955,53.94084548950195,2.5592052936553955,3.0196502208709717,6.97811222076416
167,9.053667068481444,11.28199863433838,54.00210571289063,2.563035249710083,2.992680549621582,6.981993198394775
168,9.053227424621582,11.631057739257812,53.8989143371582,2.558011770248413,3.0390541553497314,6.975454807281494
169,9.053422927856444,11.327495574951172,54.0030403137207,2.5618300437927246,2.9987752437591566,6.982058048248291
170,9.054553031921387,10.981425285339355,54.10374069213867,2.5666306018829346,2.950537919998169,6.988417148590088
171,9.053384780883787,11.558491706848145,53.92717361450195,2.5591323375701904,3.029120683670044,6.977252006530763
172,9.054544448852539,10.92450714111328,54.118736267089844,2.566690921783448,2.9423177242279053,6.989366054534912
173,9.054021835327148,11.655425071716307,53.88669967651367,2.5637545585632324,3.0417363643646236,6.974684238433838
174,9.053274154663086,11.126218795776367,54.084228515625,2.5610976219177246,2.9703829288482666,6.987195014953612
175,9.053030014038086,11.379653930664062,54.00815963745117,2.5570178031921387,3.0052700042724614,6.982392311096191
176,9.053192138671877,11.182210922241213,54.079673767089844,2.560662031173706,2.9782824516296387,6.986913204193115
177,9.05465316772461,11.816850662231445,53.864952087402344,2.568019151687622,3.0627808570861816,6.973315238952638
178,9.054607391357422,10.850561141967773,54.162193298339844,2.5674490928649902,2.9315400123596187,6.992114067077638
179,9.053041458129883,11.41618537902832,53.9981918334961,2.556934356689453,3.0101938247680664,6.981768608093263
180,9.053032875061037,11.421656608581545,54.01069259643555,2.556931734085083,3.010914802551268,6.982562065124513
181,9.053055763244627,11.492215156555176,53.99551391601562,2.557140827178955,3.0205414295196533,6.98160457611084
182,9.053397178649902,11.155717849731444,54.10218048095703,2.5623579025268555,2.9750189781188965,6.988343715667725
183,9.052923202514648,11.389513969421387,54.05788040161133,2.557544708251953,3.0068600177764893,6.985552787780763
184,9.053226470947266,11.209197998046877,54.10584259033203,2.561487436294556,2.982438087463379,6.988578796386719
185,9.054117202758787,11.81318473815918,53.91168975830078,2.565392017364502,3.062653064727783,6.976302146911621
186,9.05296802520752,11.509594917297365,54.002174377441406,2.556950569152832,3.023016452789306,6.982036590576173
187,9.053176879882812,11.224187850952148,54.09552001953125,2.5612587928771973,2.9845528602600098,6.987934112548827
188,9.05402946472168,11.877359390258787,53.889610290527344,2.565036535263061,3.07107925415039,6.9749083518981925
189,9.052892684936523,11.3547945022583,54.03778839111328,2.558565616607666,3.0023770332336426,6.984293460845947
190,9.05394172668457,11.006325721740724,54.1169319152832,2.564664363861084,2.954208374023437,6.989285945892334
191,9.052867889404297,11.276968002319336,54.05510711669922,2.558192014694214,2.991515636444092,6.9853882789611825
192,9.052886009216307,11.303342819213867,54.05010223388672,2.5588152408599854,2.9953529834747314,6.9850754737854
193,9.053021430969238,11.551572799682615,53.990928649902344,2.5576281547546387,3.0286531448364262,6.981337070465088
194,9.053081512451172,11.210466384887695,54.10333251953125,2.560871362686157,2.9827167987823486,6.988437652587893
195,9.052881240844727,11.502045631408693,54.03548431396485,2.556926727294922,3.022111177444458,6.984158992767334
196,9.052894592285156,11.547525405883787,54.028175354003906,2.55693793296814,3.028248310089112,6.983699798583984
197,9.052776336669922,11.47317123413086,54.0534782409668,2.556931257247925,3.018494844436645,6.985300540924072
198,9.052789688110352,11.473310470581055,54.046913146972656,2.558099269866944,3.0187606811523438,6.984887599945068
199,9.052854537963867,11.418355941772461,54.06592559814453,2.5592174530029297,3.0114312171936035,6.98608922958374
